School Name,Educational Sub-District,Block Name,DB Latitude,DB Longitude,Google Matched Name,Google Latitude,Google Longitude,Distance Meters,Name Similarity,Management Mismatch,Notes
G.L.P.S. Cherukulam,Manjeri,Wandoor,11.13093,76.17933,GLP School,11.120984600000002,76.1147517,7132.1,0.154,,LOW_CONFIDENCE_MATCH
G.L.P.S. Pookkuth,Manjeri,Wandoor,11.099745,76.261683,GLP School,11.120984600000002,76.1147517,16204.8,0.182,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Edavanna,Manjeri,Areacode,11.216576,76.142188,GMLPS Manjeri,11.121609699999999,76.1214409,10799.6,0.267,,LOW_CONFIDENCE_MATCH
G.L.P.S. Ramankulam,Manjeri,,11.124845,76.111281,GLP School,11.120984600000002,76.1147517,572.4,0.154,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Kodasseri,Manjeri,Wandoor,11.123438,76.233539,GLPS MANJERI,11.1084503,76.1219052,12293.7,0.5,,LOW_CONFIDENCE_MATCH
G M L P S Mariyad,Manjeri,,11.11729,76.127867,GLPS MANJERI,11.1084503,76.1219052,1178.7,0.571,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Pathappiriyam,Manjeri,Areacode,11.199875,76.135465,GMLPS Manjeri,11.121609699999999,76.1214409,8836.2,0.3,,LOW_CONFIDENCE_MATCH
G L P S Vallikkapatta,Mankada,Mankada,11.06234,76.14056,GLPS VELLILA,11.042297300000001,76.1560302,2795.9,0.5,,LOW_CONFIDENCE_MATCH
G L P S Mankada,Mankada,Mankada,11.01547,76.1772,GLPS KARKIDAKAM,11.0233185,76.1683378,1302.8,0.471,,LOW_CONFIDENCE_MATCH
G L P S Padinhattummuri,Mankada,Mankada,11.05881,76.11072,GLPS KARKIDAKAM,11.0233185,76.1683378,7424.0,0.32,,LOW_CONFIDENCE_MATCH
G L P S Palakaparambil,Mankada,Mankada,10.97117,76.11529,GLPS KARKIDAKAM,11.0233185,76.1683378,8194.6,0.417,,LOW_CONFIDENCE_MATCH
GMLPS Muthiramanna,Perinthalmanna,Perinthalmanna,10.95579,76.29689,G M L P SCHOOL,10.9497988,76.2982005,681.4,0.0,,LOW_CONFIDENCE_MATCH
GMLPS Kakkooth,Perinthalmanna,,10.983306,76.224638,GMLP school Perinthalmanna,10.978218499999999,76.2261915,590.6,0.182,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Thirurangadi,Parappanangadi,,11.035572,75.926976,G.M.L.P. School,11.0225375,75.9243594,1477.2,0.0,,LOW_CONFIDENCE_MATCH
G. L. P. S. Thirurangadi,Parappanangadi,,11.044321,75.923696,GLP School,11.044315,75.9236873,1.2,0.133,,LOW_CONFIDENCE_MATCH
G. L. P. S. Venniyur,Parappanangadi,,11.014938,75.938959,GLPS Anappadi,11.0757753,75.85650799999999,11257.5,0.25,,LOW_CONFIDENCE_MATCH
A. M. L. P. S. Kormanthala,Tanur,,10.98716,75.867883,AMLP School,10.988731999999999,75.8668362,208.8,0.267,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Cheruvannur,Tanur,Tanur,10.928094,75.97306,GMLPS Valavannur,10.9461756,75.9731305,2010.6,0.571,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Korad,Tanur,Tanur,10.98109,75.91401,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,4694.9,0.316,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Cherumukku,Tanur,Tirurangadi,11.02253,75.92435,GMLPS RAYIRIMANGALAM,10.9821072,75.8731658,7170.5,0.167,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Puthiyakadppuram North,Tanur,,10.950653,75.877138,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,2133.4,0.667,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Ponmundam South,Tanur,Tanur,10.94892,75.95095,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,8838.8,0.261,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Tanur North,Tanur,,10.98312,75.869813,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,1564.5,0.316,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Thalakadathur,Tanur,Tanur,10.939,75.93746,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,7833.3,0.519,,LOW_CONFIDENCE_MATCH
G. L. P. S. Tanur,Tanur,,10.974337,75.8792,GLP School Rayarimangalam East,10.9905975,75.8772737,1820.3,0.211,,LOW_CONFIDENCE_MATCH
G. L. P. S. K.Puram,Tanur,Tanur,10.95149,75.89791,Sabine Hospitals - Tanur,10.967025699999999,75.88561039999999,2187.9,0.4,,LOW_CONFIDENCE_MATCH
GUPS AR Nagar,Vengara,Vengara,11.07172,75.94703,G.U.P.SCHOOL KAKKADAMPURAM,11.0751505,75.9456465,410.2,0.333,,LOW_CONFIDENCE_MATCH
GMLPS Cherur,Vengara,Vengara,11.073861,75.985242,Government Mappila UP School,11.0685247,75.98597389999999,598.7,0.0,,LOW_CONFIDENCE_MATCH
G L P S Othukkungal,Vengara,Malappuram,11.02562,76.02641,GMLP SCHOOL,11.0255378,76.02658439999999,21.1,0.267,,LOW_CONFIDENCE_MATCH
GMLPS C.U. Campus,Vengara,Tirurangadi,11.13099,75.89186,G.M.L.P. School,11.0225375,75.9243594,12570.0,0.0,,LOW_CONFIDENCE_MATCH
GMUPS Kannamangalam,Vengara,Vengara,11.07803,75.97556,Government Mappila UP School,11.0685247,75.98597389999999,1552.0,0.4,,LOW_CONFIDENCE_MATCH
GMLPS Kilinakode,Vengara,Vengara,11.07687,76.00053,G.M.L.P. School,11.0225375,75.9243594,10276.3,0.0,,LOW_CONFIDENCE_MATCH
GMLPS Puthur,Vengara,Malappuram,11.0036,76.01524,GMLPS Pookolathur,11.157582099999999,76.0568442,17713.7,0.588,,LOW_CONFIDENCE_MATCH
GLPS Nottappuram,Vengara,Vengara,11.063657,75.974144,GLP School Edakkaparamba,11.0863424,75.96662189999999,2652.7,0.417,,LOW_CONFIDENCE_MATCH
Uliyathu Aboobacker Memmorial  G. L. P. S. Vadakkummuri,Edappal,Perumpadappa,10.72425,75.99978,GUPS Kololamba,10.7545585,76.000886,3372.3,0.316,,LOW_CONFIDENCE_MATCH
G. L. P. S. Perumparamba Moodal,Kuttippuram,Kuttippuram,10.8702,76.04659,GLP SCHOOL PUKAYOOR,11.0746504,75.9131395,27000.9,0.286,,LOW_CONFIDENCE_MATCH
G. L. P. S. Athippetta,Kuttippuram,Kuttippuram,10.90529,76.11195,GLPS Kuttippuram North,10.8537163,76.0375681,9942.7,0.476,,LOW_CONFIDENCE_MATCH
G. L. P. S. Karaikkad,Kuttippuram,Kuttippuram,10.926926,76.055676,Pakaranellur,10.871486299999999,76.02281099999999,7133.0,0.381,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Vettam Pallippuram,Tirur,Tirur,10.82254,75.95126,G.M.L.P. School,11.0225375,75.9243594,22431.8,0.0,,LOW_CONFIDENCE_MATCH
G. M. L. P. S. Kuttayi North,Tirur,Tirur,10.849138,75.901949,G.M.L.P. School,11.0225375,75.9243594,19435.8,0.0,,LOW_CONFIDENCE_MATCH
GMLPS Kizhuparamba,Areacode,Areacode,11.24977,76.01347,Government Muslim LP School,11.1695932,76.13100080000001,15614.8,0.222,,LOW_CONFIDENCE_MATCH
GLPS Palappatta,Areacode,Areacode,11.213015,76.120174,GLPS,11.2498994,75.959818,17963.7,0.0,,LOW_CONFIDENCE_MATCH
GLPS Kuniyil,Areacode,Areacode,11.25558,76.01938,GLPS,11.2498994,75.959818,6526.3,0.0,,LOW_CONFIDENCE_MATCH
GLPS Pavanna,Areacode,Areacode,11.2204,76.09844,GLP SCHOOL GROUND THAVARAPARAMB,11.1885336,76.0491359,6440.3,0.4,,LOW_CONFIDENCE_MATCH
G.L.P.S. Thelakkad,Melattur,Perinthalmanna,11.02292,76.25808,GLPS Melkulangara,11.0031725,76.28368569999999,3554.2,0.381,,LOW_CONFIDENCE_MATCH
G.L.P.S. Chemmaniyode,Melattur,Perinthalmanna,11.04589,76.2827,G.L.P School,11.0476879,76.07230249999999,22962.5,0.0,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Pallikuth,Melattur,Perinthalmanna,11.01528,76.22959,GMLPS Pookolathur,11.157582099999999,76.0568442,24610.9,0.4,,LOW_CONFIDENCE_MATCH
GLPS Meppadam,Nilambur,Wandoor,11.22918,76.18182,GMLP SCHOOL MAMPAD NORTH,11.247399,76.1801864,2033.7,0.571,,LOW_CONFIDENCE_MATCH
Konamunda GLPS,Nilambur,Nilambur,11.32322,76.21861,GLP School Mankuth,11.286871,76.2628821,6296.0,0.25,,LOW_CONFIDENCE_MATCH
GMLPS Nilambur,Nilambur,,11.284931,76.23748,GMLP School CHANDAKKUNNU,11.2849835,76.2375623,10.7,0.3,,LOW_CONFIDENCE_MATCH
Myladi GUPS,Nilambur,Nilambur,11.30432,76.23129,Gups Playground,11.2763147,76.22279,3249.1,0.375,,LOW_CONFIDENCE_MATCH
Perumbathur GLPS,Nilambur,Nilambur,11.34724,76.21509,GLP School Karimpuzha,11.3047864,76.2510243,6134.7,0.286,,LOW_CONFIDENCE_MATCH
Pazhedam Panampoyil GLPS,Wandoor,Wandoor,11.21106,76.292804,G.L.P School,11.0476879,76.07230249999999,30145.9,0.0,,LOW_CONFIDENCE_MATCH
G G V H S S Wandoor,Wandoor,Wandoor,11.19562,76.234259,VMC Govt. Higher Secondary School Ground,11.1983374,76.2293833,611.7,0.308,,LOW_CONFIDENCE_MATCH
Chadangamkulam GLPS,Wandoor,Wandoor,11.217016,76.221099,GLP SCHOOL cheruvannur,11.1435403,76.1907622,8814.9,0.4,,LOW_CONFIDENCE_MATCH
Pullengode GMLPS,Wandoor,Kalikavu,11.200585,76.337047,Government Muslim LP School,11.1695932,76.13100080000001,22738.8,0.25,,LOW_CONFIDENCE_MATCH
Santhinagar GLPS,Wandoor,Wandoor,11.208766,76.260674,GLP School Santhi Nagar,11.2091785,76.2606328,46.1,0.706,,LOW_CONFIDENCE_MATCH
Uthirampoyil GLPS,Wandoor,Kalikavu,11.187986,76.326545,Govt LP School Amapoyil,11.1616188,76.30817590000001,3551.2,0.7,,LOW_CONFIDENCE_MATCH
G. L. P. S. Mankeri,Kuttippuram,Kuttippuram,10.85354,76.08205,GLPS MANJERI,11.1084503,76.1219052,28676.7,0.857,,
Koithakundu GLPS,Wandoor,Kalikavu,11.134268,76.32921,GLP School Pothukundu,11.029150999999999,76.14115989999999,23615.8,0.762,,
G U P S Odakkayam,Areacode,Areacode,11.274431,76.128997,GUPS Ground Anakkayam,11.0878575,76.12294539999999,20756.5,0.778,,
G. U. P. S. Othalur,Edappal,Perumpadappa,10.71227,76.0475,GUPS Pothannur,10.8059359,75.9790608,12820.7,0.75,,
Naduvakkad GLPS,Nilambur,Wandoor,11.24277,76.19103,Naduvakkad Glps,11.3224582,76.270394,12386.0,1.0,,
Valanthode GTLPS,Nilambur,Nilambur,11.3254,76.19236,Govt Tribal LP School Valamthode,11.346671500000001,76.1028829,10037.9,0.9,,
GLPS Orakam Melmuri,Vengara,Vengara,11.063756,76.031395,"GLPS OORAKAM KIZHUMURI,KUTTALOOR",11.0521022,75.9932142,4363.5,0.923,,
G.U.P.S. Ponmala,Malappuram,Malappuram,10.983657,76.06755,G.U.P. School Ponmala Muttipalam,11.0171048,76.0526903,4057.5,1.0,,
G. F. L. P. S. Ponnani,Ponnani,,10.74474,75.93421,GFLPS PONNANI,10.7774787,75.91824319999999,4036.7,1.0,,
G H S S Kadungapuram,Mankada,Mankada,10.98095,76.13832,GHSS Kadungapuram - HS Wing,10.995456299999999,76.1711806,3932.9,1.0,,
G. L. P. S. Thrikkanapuram,Edappal,Ponnani,10.839666,75.988633,G.L.P.S. Thrikkanapuram,10.8286397,76.01951629999999,3588.8,1.0,,
G.M.L.P.S. Kidangazhi,Manjeri,,11.122817,76.11537,"GMLP school ,kidangazhi",11.1466266,76.0996392,3155.1,1.0,,
G. M. L. P. S. Ponnani Town,Ponnani,,10.775853,75.922213,Theyyangad Govt. LP School Ponnani,10.778460299999999,75.9447928,2483.5,1.0,,
G L P S Pothukundu,Mankada,Mankada,11.01726,76.12361,GLP School Pothukundu,11.029150999999999,76.14115989999999,2327.5,1.0,,
G U P S Pullur,Manjeri,,11.123529,76.118215,GUPS (Government UP School) Pulloor,11.1390899,76.1040829,2317.6,0.769,,
GLPS Chungathara Panchayath,Nilambur,Nilambur,11.352719,76.265172,Chungathara Grama Panchayath Office,11.3364274,76.27691709999999,2218.4,1.0,,
G.L.P.S. Arukizhaya,Manjeri,,11.123878,76.12379,G.L.P.School Arukizhaya,11.1056904,76.1188702,2092.4,1.0,,
G.U.P.S. Veembur,Manjeri,,11.119429,76.089154,Gups School VEEMBOOR,11.1187328,76.0701362,2076.4,0.8,,
GHSS Peruvallur,Vengara,Tirurangadi,11.10531,75.92466,GHSS PERUVALLUR,11.1067226,75.9429014,1996.6,1.0,,
GMLPS Orakam Kizhmuri,Vengara,Vengara,11.050383,76.011311,"GLPS OORAKAM KIZHUMURI,KUTTALOOR",11.0521022,75.9932142,1984.2,0.941,,
G M L P S Karathode,Vengara,Vengara,11.063009,76.013635,GMLP SCHOOL KARATHODE,11.0636129,76.03175279999999,1978.3,1.0,,
G.L.P.S. Thadathilparamba,Kondotty,Kondotty,11.20271,75.95149,GHSS Thadathilparamba,11.2166418,75.940427,1963.7,1.0,,
G. U. P. S. Pothanur,Edappal,Ponnani,10.821579,75.984728,GUPS Pothannur,10.8059359,75.9790608,1846.3,0.941,,
G. M. L. P. S. Parappanangadi Town,Parappanangadi,Tirurangadi,11.04823,75.85857,"GMLP School Parappanangadi,Angadi beach",11.0608037,75.84773299999999,1831.2,1.0,,
G.M.L.P.S. Chappanangadi,Malappuram,Malappuram,11.004902,76.042617,GMLP SCHOOL CHAPPANANGADI,11.0009806,76.05668130000001,1595.9,1.0,,
G.M.L.P.S. Nenmini,Melattur,Perinthalmanna,11.05346,76.2094,GMLPS Nenmini,11.0407192,76.20735239999999,1434.2,1.0,,
G. M. L. P. S. Valavannur,Tanur,Tanur,10.958043,75.976714,GMLPS Valavannur,10.9461756,75.9731305,1376.4,1.0,,
G.L.P.S. Kara,Melattur,Perinthalmanna,11.00977,76.32209,G.L.P.S KARA,11.0214008,76.32379209999999,1306.6,1.0,,
G. L. P. S. Rayirimangalam,Tanur,,10.99357,75.8731,GMLPS RAYIRIMANGALAM,10.9821072,75.8731658,1274.6,1.0,,
G L P S Meenarkuzhi,Mankada,Mankada,11.00891,76.105324,G L P School meenarkuzhi,11.0169748,76.098114,1193.1,1.0,,
G. M. L. P. S. Vadakkummuri,Edappal,Perumpadappa,10.737365,76.010027,GMLPS VADAKKUMURI,10.7321876,76.0005441,1185.2,0.957,,
Mooleppadam GLPS,Nilambur,Nilambur,11.32223,76.19252,GLPS MOOLEPPADAM,11.3151622,76.1994217,1088.1,1.0,,
G. L. P. S. Kalpakancheri,Kuttippuram,Kuttippuram,10.93859,75.97679,GLPS KALPAKANCHERY,10.938687000000002,75.9863189,1040.4,0.923,,
G M L P S Pandallur,Manjeri,Malappuram,11.085446,76.175403,GLP School Pandallur,11.084254399999999,76.1664097,990.3,1.0,,
G.L.P.S. Manjeri,Manjeri,,11.116944,76.119939,GLPS MANJERI,11.1084503,76.1219052,968.5,1.0,,
G.M.U.P.S. Melakkam,Manjeri,,11.122684,76.119386,GMUPS MELAKKAM,11.130722299999999,76.1206945,905.1,1.0,,
G. L. P. S. Sukapuram,Edappal,Ponnani,10.77321,76.01494,Sukapuram Hospital,10.778850499999999,76.00909589999999,894.9,1.0,,
G. U. P. S. Cheruvayikkara,Ponnani,,10.7891,75.96361,Cheruvayikkara,10.792440899999999,75.9572568,787.1,1.0,,
G. L. P. S. Edappal,Edappal,Ponnani,10.78845,75.99628,GHSS Edappal,10.787038299999999,76.0032849,781.1,1.0,,
G. J. B. S. Vattamkulam,Edappal,Ponnani,10.785135,76.01586,GJB LP School Vattamkulam(GJBS Vattamkulam),10.785583599999999,76.0225517,732.6,1.0,,
G. F. L. P. S. Parappanangadi,Parappanangadi,,11.070636,75.847279,GLPS Parappanangadi,11.0693995,75.85372989999999,717.3,1.0,,
G. L. P. S. Kulakkad,Kuttippuram,Kuttippuram,10.851369,76.04091,GLP SCHOOL KULAKKAD,10.8573168,76.0432981,710.9,1.0,,
G.L.P.S. Narukara,Manjeri,,11.120787,76.096863,GLP SCHOOL NARUKARA,11.1198638,76.09092940000001,655.5,1.0,,
Thuvvur GLPS,Wandoor,Kalikavu,11.111585,76.284165,Govt HSS Tuvvur,11.110113,76.279027,584.0,0.923,,
G.M.L.P.S. Manjeri South,Manjeri,,11.120905,76.12658,GMLPS Manjeri,11.121609699999999,76.1214409,566.2,1.0,,
Pookkulam GLPS,Wandoor,Wandoor,11.18966,76.234066,Pookulam Government LP School,11.1856198,76.2323502,486.7,0.941,,
G.L.P.S. Mundumuzhi,Kondotty,Kondotty,11.24633,75.93915,GLPS Mundumuzhi,11.245946499999999,75.9348684,468.9,1.0,,
G. M. L. P. S. Rayirimangalam,Tanur,,10.98098,75.87693,GMLPS RAYIRIMANGALAM,10.9821072,75.8731658,429.6,1.0,,
G. L. P. S. Chottur,Kuttippuram,Kuttippuram,10.9161,76.03964,Chottur Government Lower Primary School (GLP School),10.9124917,76.03901359999999,407.0,1.0,,
G.M.L.P.S. Manjeri East,Manjeri,,11.121499,76.125117,GMLPS Manjeri,11.121609699999999,76.1214409,401.3,1.0,,
Pallisseri GLPS,Wandoor,Kalikavu,11.179967,76.303281,GLPS PALLISSERI GROUND,11.1768162,76.3040305,359.8,1.0,,
G M L P S Vadakkangara,Mankada,Mankada,11.01785,76.15089,GMLP School Vadakkangara,11.0199278,76.14864279999999,337.0,1.0,,
G H S Aliparamba,Perinthalmanna,Perinthalmanna,10.918934,76.312984,GHSS Aliparamba,10.9208483,76.31528879999999,329.6,1.0,,
G. L. P. S. Kanhiramukku,Ponnani,Perumpadappa,10.75871,75.96689,GLPS Kanhiramukku,10.7564557,75.9683132,295.0,1.0,,
G. M. L. P. S. Kuttippala,Tanur,Tanur,10.96675,75.96111,Kuttippala GMLP School,10.964213899999999,75.9616495,288.1,1.0,,
G L P S Kuruva,Mankada,Mankada,11.007169,76.113227,GLPS KURUVA,11.004693699999999,76.1126208,283.1,1.0,,
G.L.P.S. Vettathur,Kondotty,Kondotty,11.25618,75.98985,G.L.P.S Vettathoor,11.2544763,75.988128,266.7,0.842,,
GLPS Thattancherimala,Vengara,Vengara,11.045565,75.945858,GLP School - Thattancheri Mala,11.043214899999999,75.94630099999999,265.8,0.857,,
G. M. U. P. S. Kakkad,Parappanangadi,,11.03522,75.93824,Kakkad GMUP School Road,11.0334251,75.9369851,242.1,1.0,,
G.M.L.P.S. Manjeri,Manjeri,,11.119506,76.12179,GMLPS Manjeri,11.121609699999999,76.1214409,237.0,1.0,,
G.M.L.P.S. Kondotty,Kondotty,,11.14756,75.96498,G M U P SCHOOL KONDOTTY,11.147693600000002,75.9670577,227.2,1.0,,
G.M.U.P.S. Arimbra,Kondotty,Malappuram,11.11546,76.01882,GMUPS Arimbra,11.113938,76.01976610000001,198.2,1.0,,
G. F. L. P. S. Puthuponnani,Ponnani,,10.778658,75.919522,GFLPS PONNANI,10.7774787,75.91824319999999,191.6,0.737,,
GMLPS Perinthalmanna Central,Perinthalmanna,,10.978076,76.22629,GMHSS Perinthalmanna,10.9766392,76.2272114,188.8,1.0,,
GMLPS Mampuram,Vengara,Vengara,11.0561,75.92042,GMLP SCHOOL MAMPURAM,11.0544044,75.9204871,188.7,1.0,,
G. L. P. S. Chiyanur,Edappal,Perumpadappa,10.73833,76.0303,GLP School Chiyanoor,10.7394093,76.03158049999999,184.3,0.824,,
GLPS Thencheri,Areacode,Areacode,11.23171,76.09292,Thenjeri,11.2303397,76.0925225,158.4,0.824,,
GLPS Thavarapparamba,Areacode,Areacode,11.189739,76.048509,GLP SCHOOL GROUND THAVARAPARAMB,11.1885336,76.0491359,150.5,0.929,,
G. U. P. S. Randathani,Kuttippuram,Kuttippuram,10.96144,76.00752,"GUPSchool,Randathani",10.962656299999999,76.0073695,136.2,1.0,,
G.U.P.S. Manjeri,Manjeri,,11.120277,76.115769,G U P School Chullakkad Manjeri,11.120898100000002,76.11477049999999,129.0,1.0,,
G. M. U. P. S. Tanur Town,Tanur,,10.97752,75.871183,GMUP School Tanur,10.9772406,75.8704415,86.7,1.0,,
G. L. P. S. Kattilangadi,Kuttippuram,Kuttippuram,10.89922,76.01126,GLPS Kattilangadi,10.8997618,76.01161139999999,71.4,1.0,,
G. H. S. Trikkulam,Parappanangadi,,11.04218,75.90944,GHS Trikkulam,11.042778799999999,75.9095773,68.2,1.0,,
G. U. P. S. Painkannur,Kuttippuram,,10.87406,76.0641,GUPS Painkannur,10.873819099999999,76.0635933,61.5,1.0,,
G.M.U.P.S. Vazhakkad,Kondotty,Kondotty,11.24721,75.9523,Goverment Upper Primary School Vazhakkad,11.247423099999999,75.9518578,53.7,1.0,,
G.M.L.P.S. Pandikkad,Manjeri,Wandoor,11.097809,76.224314,GMLPS Pandikkad,11.0982299,76.22451450000001,51.7,1.0,,
G. H. S. S. Ponmundam,Tanur,Tanur,10.957123,75.956855,Govt HSS Ponmundam,10.957341399999999,75.9572519,49.7,1.0,,
Amapoyil GLPS,Wandoor,Kalikavu,11.161726,76.308576,Govt LP School Amapoyil,11.1616188,76.30817590000001,45.2,1.0,,
G. M. U. P. S. Paravanna,Tirur,Tirur,10.900722,75.89231,GMUP School Paravanna,10.9006905,75.8919116,43.6,1.0,,
GUPS Moorkanad,Areacode,Areacode,11.24091,76.05748,Govt Mappila UP School Moorkanadu,11.2412028,76.0572389,41.9,0.947,,
GHS Kolappuram,Vengara,Vengara,11.05608,75.935,GHS KOLAPPURAM,11.0564447,75.9350863,41.6,1.0,,
Mampattumoola GLPS,Wandoor,Kalikavu,11.221497,76.317112,GLPS Mampattumoola,11.221777,76.31687699999999,40.3,1.0,,
G.L.P.S. Pandallur,Manjeri,Malappuram,11.084432,76.166711,GLP School Pandallur,11.084254399999999,76.1664097,38.4,1.0,,
G. U. P. S. Purathur,Tirur,Tirur,10.80417,75.92182,Purathur Government Upper Primary School,10.8044522,75.92167850000001,35.0,1.0,,
Pazhayakadakkal GUPS,Wandoor,Kalikavu,11.142177,76.347892,Pazhayakadakkal,11.1423525,76.347652,32.7,1.0,,
G.H.S Anchachavadi,Wandoor,Kalikavu,11.18653,76.29057,GHS ANCHACHAVADI,11.186305299999999,76.29039759999999,31.3,1.0,,
G. H. S. Athavanad,Kuttippuram,Kuttippuram,10.89707,76.02314,GHS Athavanad Parithi,10.897332299999999,76.0230447,31.0,1.0,,
G. L. P. S. Pariyapuram,Tanur,,11.00222,75.87384,GLP School Pariyapuram,11.0024544,75.8737218,29.1,1.0,,
G. L. P. S. Anappadi,Parappanangadi,Tirurangadi,11.07553,75.85647,GLPS Anappadi,11.0757753,75.85650799999999,27.6,1.0,,
G. L. P. S. Parappanangadi,Parappanangadi,,11.06918,75.85364,GLPS Parappanangadi,11.0693995,75.85372989999999,26.3,1.0,,
GUPS Valiyora,Vengara,Vengara,11.04873,75.94971,"GUP School Valiyora ,Palasseerimadu",11.0489099,75.9498662,26.3,1.0,,
G. H. S. S. Kadanchery,Edappal,Ponnani,10.82585,75.98763,Govt HSS Kadancheri,10.826049099999999,75.98750509999999,26.0,0.9,,
G H S Meenadathur,Tanur,Tanur,10.942207,75.910048,GHS Meenadathur,10.9424209,75.91014059999999,25.8,1.0,,
G.H.S. Chaliyappuram,Kondotty,Kondotty,11.24727,75.97841,"Govt. High School, Chaliyappuram",11.247366099999999,75.9782039,24.9,1.0,,
GLPS Kunnakkavu,Perinthalmanna,Perinthalmanna,10.90472,76.24743,GLP School Kunnakkavu,10.9045358,76.2475493,24.3,1.0,,
G.L.P.S. Morayur,Kondotty,Malappuram,11.13574,76.0211,GLP SCHOOL MORAYUR VALENCHERY,11.1357904,76.021309,23.5,1.0,,
Nilambur GMUPS,Nilambur,,11.27587,76.22294,GMUPS NILAMBUR,11.2756635,76.2229323,23.0,1.0,,
G.L.P.S. Karad,Kondotty,Kondotty,11.20628,75.87741,GLP school karad,11.2064386,75.8772817,22.5,1.0,,
