School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
G.M.U.P.S. Ozhukur,Malappuram,Kondotty,Malappuram,1 - 7,34.7,MDR,Morayur Edapparamb Kizhisseri Road (KPWD/MDR/503020302/26,11.15409,76.01258
G.L.P.S. Vettathur,Malappuram,Kondotty,Kondotty,1 - 4,36.8,MDR,Valillappuzha - Elamaram - Irattamoozhi Road (KPWD/MDR/503020302/14,11.25618,75.98985
G.W.U.P.S. Nediyiruppu,Malappuram,Kondotty,,1 - 7,46.2,MDR,Musliyarangadi - Moochikkundu - N.H Colony Cheruppadi Road (KPWD/MDR/503020402/39,11.1077,75.99778
G.M.U.P.S. Chirayil,Malappuram,Kondotty,,1 - 7,49.2,SH,Parappanangadi  Areacode Road (KPWD/MPM/SH/65/2,11.12842,75.97477
G.M.U.P.S. Vazhakkad,Malappuram,Kondotty,Kondotty,1 - 7,49.2,MDR,Kondotti Vazhakkad Road (KPWD/MDR/503020302/8,11.24721,75.9523
G.H.S. Chaliyappuram,Malappuram,Kondotty,Kondotty,1 -10,63.8,MDR,Edavannappara - Elamaram Road (KPWD/MDR/503020302/4,11.24727,75.97841
G.L.P.S. Karad,Malappuram,Kondotty,Kondotty,1 - 4,65.9,MDR,Feroke College Vazhakkad Road (KPWD/MDR/503020302/32,11.20628,75.87741
G.L.P.S. Arimbra Melmuri,Malappuram,Kondotty,Malappuram,1 - 4,73.4,MDR,Morayur Arimbra Pookkottur Road (KPWD/MDR/503020402/58,11.106578,76.024071
G.M.U.P.S. Arimbra,Malappuram,Kondotty,Malappuram,1 - 7,90.8,MDR,Morayur Arimbra Pookkottur Road (KPWD/MDR/503020402/58,11.11546,76.01882
G.L.P.S. Kottakkal,Malappuram,Malappuram,,1 - 4,13.5,MDR,Kottakkal Arya Vydya Sala Road (KPWD/MDR/503020402/25,10.99879,76.00815
G.M.L.P.S. Kolmanna,Malappuram,Malappuram,,1 - 4,29.3,SH,Malappuram - Parappanangadi Road (KPWD/MPM/SH/72/1,11.050419,76.057563
G.M.U.P.S. Kottakkal,Malappuram,Malappuram,,1 - 7,29.5,MDR,Kottakkal Arya Vydya Sala Road (KPWD/MDR/503020402/25,10.99913,76.00788
G.L.P.S. Paranki Moochikkal,Malappuram,Malappuram,Malappuram,1 - 4,34.8,MDR,Chenathadam - Kuruppampadi (KPWD/MDR/503020402/16,11.006385,76.041245
G.M.L.P.S. Chappanangadi,Malappuram,Malappuram,Malappuram,1 - 4,40.6,MDR,Kottakkal - Chappanangadi Road (KPWD/MDR/503020402/5,11.004902,76.042617
G.U.P.S. Ponmala,Malappuram,Malappuram,Malappuram,1 - 7,80.4,MDR,Vattaparamba - Kadampuzha (KPWD/MDR/503020402/52,10.983657,76.06755
G.G.H.S.S. Manjeri,Malappuram,Manjeri,,1 - 12,11.5,MDR,Manjeri - Pookottur Road (KPWD/MDR/503020401/67,11.120218,76.118038
G U P S Pullur,Malappuram,Manjeri,,1 - 7,12.9,SH,Manjery By Pass First Reach (S.H 28) (KPWD/SH/503020401/35,11.123529,76.118215
G.L.P.S. Karuvambrum West,Malappuram,Manjeri,,1 - 4,18.1,MDR,Manjeri - Kizhisseri Road (KPWD/MDR/503020401/56,11.127181,76.101832
G.M.L.P.S. Manjeri East,Malappuram,Manjeri,,1 - 4,20.4,MDR,Manjeri - Olipuzha Road (KPWD/MDR/503020401/73,11.121499,76.125117
G.M.L.P.S. Pandikkad,Malappuram,Manjeri,Wandoor,1 - 5,20.6,SH,Valancheri â€“ Angadipuram-Wandoor-Vadapuram-Nilamboor Road (KPWD/MPM/SH/73/4,11.097809,76.224314
G.L.P.S. Vettikkattiri,Malappuram,Manjeri,Wandoor,1 - 4,22.9,MDR,Manjeri - Olipuzha Road (KPWD/MDR/503020401/73,11.095161,76.213942
G.L.P.S. Pandallur,Malappuram,Manjeri,Malappuram,1 - 4,24.0,MDR,Anakkayam - Oravambram Road (KPWD/MDR/503020401/2,11.084432,76.166711
G.M.L.P.S. Manjeri South,Malappuram,Manjeri,,1 - 4,24.1,MDR,N.S.S. College Road - Manjeri (KPWD/MDR/503020401/14,11.120905,76.12658
G.M.L.P.S. Kidangazhi,Malappuram,Manjeri,,1 - 4,26.7,SH,Manjery By Pass First Reach (S.H 28) (KPWD/SH/503020401/35,11.122817,76.11537
G M L P S Pandallur,Malappuram,Manjeri,Malappuram,1 - 4,28.5,MDR,Anakkayam - Oravambram Road (KPWD/MDR/503020401/2,11.085446,76.175403
K.M Musthafa Memorial G.L.P.S. Mundengara,Malappuram,Manjeri,Areacode,1 - 5,28.6,MDR,Pathananapuram - Moorkanad Road (KPWD/MDR/503020401/16,11.223766,76.140821
G.M.U.P.S. Melakkam,Malappuram,Manjeri,,1 - 7,29.3,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.122684,76.119386
G.L.P.S. Narukara,Malappuram,Manjeri,,1 - 4,33.9,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.120787,76.096863
G.M.L.P.S. Karakunnu,Malappuram,Manjeri,Wandoor,1 - 4,44.3,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.169844,76.131066
G.M.L.P.S. Manjeri,Malappuram,Manjeri,,1 - 4,45.7,MDR,Manjeri - Olipuzha Road (KPWD/MDR/503020401/73,11.119506,76.12179
G.U.P.S. Manjeri,Malappuram,Manjeri,,1 - 7,49.4,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.120277,76.115769
G.L.P.S. Arukizhaya,Malappuram,Manjeri,,1 - 4,49.8,SH,Manjery By Pass Second Reach (KPWD/SH/503020401/74,11.123878,76.12379
G.U.P.S. Veembur,Malappuram,Manjeri,,1 - 7,50.6,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.119429,76.089154
G.L.P.S. Manjeri,Malappuram,Manjeri,,1 - 4,51.3,SH,Tirur - Malappuram - Manjeri road (KPWD/MPM/SH/71/4,11.116944,76.119939
G.L.P.S. Cherukulam,Malappuram,Manjeri,Wandoor,1 - 4,56.4,MDR,Kuttippara - Cherukode Road (KPWD/MDR/503020401/8,11.13093,76.17933
G.L.P.S. Pookkuth,Malappuram,Manjeri,Wandoor,1 - 5,58.7,SH,Perumbilavu -Nilamboor Road (KPWD/MPM/SH/39/6,11.099745,76.261683
G.M.L.P.S. Edavanna,Malappuram,Manjeri,Areacode,1 - 4,58.8,MDR,Edavanna - Tiruvali Road (KPWD/MDR/503020202/2,11.216576,76.142188
G.M.L.P.S. Odompatta,Malappuram,Manjeri,Wandoor,1 - 4,62.7,MDR,Poolamanna - Vaniyambalam Road (KPWD/MDR/503020202/5,11.122876,76.267975
G.L.P.S. Ramankulam,Malappuram,Manjeri,,1 - 4,62.9,SH,Manjery By Pass First Reach (S.H 28) (KPWD/SH/503020401/35,11.124845,76.111281
G.M.L.P.S. Kodasseri,Malappuram,Manjeri,Wandoor,1 - 4,72.9,SH,Valancheri â€“ Angadipuram-Wandoor-Vadapuram-Nilamboor Road (KPWD/MPM/SH/73/4,11.123438,76.233539
G.L.P.S. Cheruvannur,Malappuram,Manjeri,Wandoor,1 - 4,73.5,MDR,Kuttippara - Cherukode Road (KPWD/MDR/503020401/8,11.143501,76.190853
G M L P S Mariyad,Malappuram,Manjeri,,1 - 4,77.8,MDR,N.S.S. College Road - Manjeri (KPWD/MDR/503020401/14,11.11729,76.127867
G.M.L.P.S. Pathappiriyam,Malappuram,Manjeri,Areacode,1 - 4,82.7,SH,Kozhikode - Nilmbur - Gudallur Road (KPWD/MPM/SH/28/1,11.199875,76.135465
G L P S Pothukundu,Malappuram,Mankada,Mankada,1 - 4,2.2,MDR,Makkarapparamba Mankada Road (KPWD/MDR/503020201/8,11.01726,76.12361
G L P S Vallikkapatta,Malappuram,Mankada,Mankada,1 - 4,15.4,MDR,Tirurkad Anakayam Road (KPWD/MDR/503020203/11,11.06234,76.14056
G U P S Mankada Pallippuram,Malappuram,Mankada,Mankada,1 - 7,19.9,MDR,Panambattachala Vennakkode Vellila (KPWD/MDR/503020402/47,11.06096,76.12727
G L P S Mankada,Malappuram,Mankada,Mankada,1 - 4,21.6,MDR,Tirurkad Anakayam Road (KPWD/MDR/503020203/11,11.01547,76.1772
G L P S Meenarkuzhi,Malappuram,Mankada,Mankada,1 - 4,39.3,MDR,Kuruva - Chattiparamba Road (KPWD/MDR/503020201/7,11.00891,76.105324
G H S S Kadungapuram,Malappuram,Mankada,Mankada,1 - 12,47.1,MDR,Angadippuram Cherukulamba Road (KPWD/MDR/503020201/3,10.98095,76.13832
G L P S Kuruva,Malappuram,Mankada,Mankada,1 - 4,54.0,MDR,Vettichira Koottilangadi Road (KPWD/MDR/503020201/26,11.007169,76.113227
G M L P S Vadakkangara,Malappuram,Mankada,Mankada,1 - 4,67.1,MDR,Makkarapparamba Mankada Road (KPWD/MDR/503020201/8,11.01785,76.15089
G L P S Padinhattummuri,Malappuram,Mankada,Mankada,1 - 5,79.6,MDR,Panambattachala Vennakkode Vellila (KPWD/MDR/503020402/47,11.05881,76.11072
G L P S Puthanangadi,Malappuram,Mankada,Perinthalmanna,1 - 4,80.9,SH,Valancheri â€“ Angadipuram-Wandoor-Vadapuram-Nilamboor Road (KPWD/MPM/SH/73/2,10.96752,76.188931
G L P S Palakaparambil,Malappuram,Mankada,Mankada,1 - 4,81.4,MDR,Kolathur Malappuram (KPWD/MDR/503020201/15,10.97117,76.11529
GMLPS Muthiramanna,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,28.6,MDR,Pallippadi Bidathi Road (KPWD/MDR/503020201/23,10.95579,76.29689
GLPS Kunnakkavu,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,37.6,MDR,Cherukara Muthukurussi Road (KPWD/MDR/503020201/4,10.90472,76.24743
G H S Aliparamba,Malappuram,Perinthalmanna,Perinthalmanna,1 - 12,39.8,MDR,Poovathani Pallikunnu Kampram Mannothil Kadavu Road (KPWD/MDR/503020201/24,10.918934,76.312984
GMUPS Valapuram,Malappuram,Perinthalmanna,Perinthalmanna,1 - 7,48.5,MDR,Vengad Chemmalassery Road (KPWD/MDR/503020201/13,10.921364,76.165784
GMLPS Kakkooth,Malappuram,Perinthalmanna,,1 - 4,55.9,SH,Perumbilavu -Nilamboor Road (KPWD/MPM/SH/39/4,10.983306,76.224638
GMLPS Perinthalmanna Central,Malappuram,Perinthalmanna,,1 - 4,81.0,SH,Perumbilavu -Nilamboor Road (KPWD/MPM/SH/39/4,10.978076,76.22629
GLPS Pallikunnu,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,98.7,MDR,Thootha - Vettathur Road (KPWD/MDR/503020203/16,10.99871,76.32037
G. M. U. P. S. Kakkad,Thirurangadi,Parappanangadi,,1 - 7,17.7,NH,NH 66 - Kooriyad Puthanathani (KPWD/NH66/302010503/1,11.03522,75.93824
G. M. L. P. S. Thirurangadi,Thirurangadi,Parappanangadi,,1 - 4,19.3,MDR,Tirurangadi Kundoor Cherumukku Road (KPWD/MDR/503020303/23,11.035572,75.926976
G. L. P. S. Thirurangadi,Thirurangadi,Parappanangadi,,1 - 4,19.6,SH,Parappanangadi  Areacode Road (KPWD/MPM/SH/65/1,11.044321,75.923696
G. L. P. S. Venniyur,Thirurangadi,Parappanangadi,,1 - 4,23.2,MDR,Venniyoor Paramba Thannur Road (KPWD/MDR/503020303/30,11.014938,75.938959
G. L. P. S. Parappanangadi,Thirurangadi,Parappanangadi,,1 - 5,24.1,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020303/37,11.06918,75.85364
G. L. P. S. Anappadi,Thirurangadi,Parappanangadi,Tirurangadi,1 - 4,24.6,MDR,Chelari - Parappnangadi Road (KPWD/MDR/503020303/5,11.07553,75.85647
G. F. L. P. S. Parappanangadi,Thirurangadi,Parappanangadi,,1 - 4,26.5,MDR,Chetippadi Alungal Beach Road (KPWD/MDR/503020303/6,11.070636,75.847279
G. M. L. P. S. Parappanangadi Town,Thirurangadi,Parappanangadi,Tirurangadi,1 - 5,55.5,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020303/37,11.04823,75.85857
G. H. S. Trikkulam,Thirurangadi,Parappanangadi,,1 -10,57.9,SH,Parappanangadi  Areacode Road (KPWD/MPM/SH/65/1,11.04218,75.90944
A. M. L. P. S. Kormanthala,Thirurangadi,Tanur,,1 - 4,6.5,MDR,Tanur Poorappuzha Tippu Sulthan Road (KPWD/MDR/503020301/26,10.98716,75.867883
G. L. P. S. Rayirimangalam,Thirurangadi,Tanur,,1 - 4,8.5,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020301/64,10.99357,75.8731
G. H. S. S. Ponmundam,Thirurangadi,Tanur,Tanur,1 - 12,12.9,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/1,10.957123,75.956855
G. M. L. P. S. Cheruvannur,Thirurangadi,Tanur,Tanur,1 - 4,18.5,MDR,Kadungathukundu Panampalam Road (KPWD/MDR/503020301/10,10.928094,75.97306
G. M. L. P. S. Korad,Thirurangadi,Tanur,Tanur,1 - 4,19.0,MDR,Ittilakkal Theyyala Road (KPWD/MDR/503020301/8,10.98109,75.91401
G. M. L. P. S. Rayirimangalam,Thirurangadi,Tanur,,1 - 4,22.0,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020301/64,10.98098,75.87693
G. M. L. P. S. Cherumukku,Thirurangadi,Tanur,Tirurangadi,1 - 4,22.5,MDR,Tirurangadi Kundoor Cherumukku Road (KPWD/MDR/503020303/23,11.02253,75.92435
G. M. L. P. S. Puthiyakadppuram North,Thirurangadi,Tanur,,1 - 4,22.7,MDR,Tippu Sulthan Road (KPWD/MDR/503020301/28,10.950653,75.877138
G. M. L. P. S. Ponmundam South,Thirurangadi,Tanur,Tanur,1 - 4,27.9,MDR,Tanalur Puthanathani Road (KPWD/MDR/503020301/52,10.94892,75.95095
G. M. L. P. S. Tanur North,Thirurangadi,Tanur,,1 - 4,31.0,MDR,Road Connecting Tirur Kadalundy Road And Tipusulthan Road (KPWD/MDR/503020301/24,10.98312,75.869813
G. M. L. P. S. Thalakadathur,Thirurangadi,Tanur,Tanur,1 - 4,33.0,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/1,10.939,75.93746
G H S Meenadathur,Thirurangadi,Tanur,Tanur,1 -10,37.1,MDR,Payyanangadi Tanalur Road (KPWD/MDR/503020301/21,10.942207,75.910048
G. L. P. S. Tanur,Thirurangadi,Tanur,,1 - 5,39.4,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020301/43,10.974337,75.8792
G. L. P. S. Pariyapuram,Thirurangadi,Tanur,,1 - 5,41.6,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020301/64,11.00222,75.87384
G. L. P. S. K.Puram,Thirurangadi,Tanur,Tanur,1 - 5,44.2,MDR,Pathampad - Vattathani Road (KPWD/MDR/503020301/40,10.95149,75.89791
G. U. P. S. Karingappara,Thirurangadi,Tanur,Tanur,1 - 7,45.0,MDR,Vylathur Kozhichena Road (KPWD/MDR/503020301/33,10.9862,75.94249
G. L. P. S. Ozhur,Thirurangadi,Tanur,Tanur,1 - 5,50.1,MDR,Ozhur Pandimuttam Road (KPWD/MDR/503020301/18,10.966,75.90611
G. M. L. P. S. Edakadappuram,Thirurangadi,Tanur,Tanur,1 - 4,61.7,MDR,Tippu Sulthan Road (KPWD/MDR/503020301/28,10.96927,75.872743
G. M. U. P. S. Tanur Town,Thirurangadi,Tanur,,1 - 7,62.8,MDR,Tippu Sulthan Road (KPWD/MDR/503020301/28,10.97752,75.871183
G. M. L. P. S. Kuttippala,Thirurangadi,Tanur,Tanur,1 - 5,71.2,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/1,10.96675,75.96111
G. M. L. P. S. Valavannur,Thirurangadi,Tanur,Tanur,1 - 4,85.7,MDR,Kadungathukundu Edarikkode (KPWD/MDR/503020301/9,10.958043,75.976714
G. M. U. P. S. Kodinhi,Thirurangadi,Tanur,Tirurangadi,1 - 7,90.0,MDR,Trikulam Thayyala Road (KPWD/MDR/503020303/25,11.01703,75.91072
GMLPS Mampuram,Thirurangadi,Vengara,Vengara,1 - 4,5.4,MDR,Mambram Link Road (KPWD/MDR/503020303/13,11.0561,75.92042
GUPS AR Nagar,Thirurangadi,Vengara,Vengara,1 - 7,7.4,MDR,Vengara Kacheripadi Kakkadumpuram via Kuttoor North (KPWD/MDR/503020303/46,11.07172,75.94703
G M L P S Karathode,Thirurangadi,Vengara,Vengara,1 - 4,12.6,SH,Malappuram - Parappanangadi Road (KPWD/MPM/SH/72/1,11.063009,76.013635
GMLPS Cherur,Thirurangadi,Vengara,Vengara,1 - 4,16.6,MDR,Vengara Kunnumpuram Road (KPWD/MDR/503020303/28,11.073861,75.985242
G L P S Othukkungal,Thirurangadi,Vengara,Malappuram,1 - 4,20.3,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/2,11.02562,76.02641
GHS Kolappuram,Thirurangadi,Vengara,Vengara,1 -10,20.4,SH,Parappanangadi  Areacode Road (KPWD/MPM/SH/65/1,11.05608,75.935
GUPS Valiyora,Thirurangadi,Vengara,Vengara,1 - 7,20.6,SH,Malappuram - Parappanangadi Road (KPWD/MPM/SH/72/2,11.04873,75.94971
GMLPS C.U. Campus,Thirurangadi,Vengara,Tirurangadi,1 - 4,21.2,MDR,University - Kadakkattupara - Olippramkadavu - Mukkathu Kadavu Road (KPWD/MDR/503020303/39,11.13099,75.89186
GMLPS Iringallur,Thirurangadi,Vengara,Vengara,1 - 4,22.5,MDR,Kuzhippurm - Atteeri - Kottakkal Road (KPWD/MDR/503020303/32,11.02338,76.00708
GMUPS Kannamangalam,Thirurangadi,Vengara,Vengara,1 - 7,24.1,MDR,Vengara - Achanambalam Road (KPWD/MDR/503020303/27,11.07803,75.97556
GLPS Orakam Kizhumuri,Thirurangadi,Vengara,Vengara,1 - 5,26.1,MDR,Athikarathodi - Kuttaloor Road Reach 2 (KPWD/MDR/503020402/15,11.052021,75.993125
GMLPS Kilinakode,Thirurangadi,Vengara,Vengara,1 - 4,28.6,MDR,Cherur - Kilinakode - Parakkaanni Road (KPWD/MDR/503020402/17,11.07687,76.00053
GLPS Orakam Melmuri,Thirurangadi,Vengara,Vengara,1 - 4,33.0,SH,Malappuram - Parappanangadi Road (KPWD/MPM/SH/72/1,11.063756,76.031395
GMLPS Orakam Kizhmuri,Thirurangadi,Vengara,Vengara,1 - 4,35.7,MDR,Athikarathodi - Kuttaloor Road Reach 2 (KPWD/MDR/503020402/15,11.050383,76.011311
GHSS Peruvallur,Thirurangadi,Vengara,Tirurangadi,1 - 12,37.7,MDR,University Parambil Peedika Road (KPWD/MDR/503020303/26,11.10531,75.92466
GMLPS Puthur,Thirurangadi,Vengara,Malappuram,1 - 4,47.9,MDR,Kottakkal - Chappanangadi Road (KPWD/MDR/503020402/5,11.0036,76.01524
GUPS Klari,Thirurangadi,Vengara,Vengara,1 - 7,49.7,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/1,10.99273,75.97987
GLPS Olakara,Thirurangadi,Vengara,Tirurangadi,1 - 4,52.4,MDR,Kollanchina Pukayoor Road (KPWD/MDR/503020303/11,11.083855,75.930001
CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,Thirurangadi,Vengara,Vengara,1 - 7,59.9,MDR,Vengara Kunnumpuram Road (KPWD/MDR/503020303/28,11.0683,75.98593
GLPS Nottappuram,Thirurangadi,Vengara,Vengara,1 - 4,70.2,MDR,Vengara - Achanambalam Road (KPWD/MDR/503020303/27,11.063657,75.974144
GLPS Thattancherimala,Thirurangadi,Vengara,Vengara,1 - 4,70.4,MDR,Vengara Kooriyad Road (KPWD/MDR/503020303/29,11.045565,75.945858
G H S Kuruka,Thirurangadi,Vengara,Vengara,1 -10,71.1,MDR,Vengara Kooriyad Road (KPWD/MDR/503020303/29,11.03964,75.96862
GMLPS Edakkaparamba,Thirurangadi,Vengara,Vengara,1 - 4,97.0,MDR,Vengara Kunnumpuram Road (KPWD/MDR/503020303/28,11.0863,75.96675
G. U. P. S. Pothanur,Tirur,Edappal,Ponnani,1 - 7,6.1,MDR,Nadakkavu - Nariparamba Road (KPWD/MDR/503020102/8,10.821579,75.984728
G. L. P. S. Thrikkanapuram,Tirur,Edappal,Ponnani,1 - 4,8.5,MDR,Athaloor Thrikkanapuram Road (KPWD/MDR/503020101/1,10.839666,75.988633
G. J. B. S. Vattamkulam,Tirur,Edappal,Ponnani,1 - 4,16.3,MDR,Palakkad - Ponnani Road (KPWD/MDR/503020101/24,10.785135,76.01586
G. L. P. S. Perumparamba,Tirur,Edappal,Ponnani,1 - 4,23.8,MDR,Edappal Tavanoor Road (KPWD/MDR/503020101/8,10.8015,75.99547
G. L. P. S. Sukapuram,Tirur,Edappal,Ponnani,1 - 4,24.0,MDR,Naduvattom Thanneerkodu Road (KPWD/MDR/503020102/9,10.77321,76.01494
G. L. P. S. Kaladi,Tirur,Edappal,Ponnani,1 - 4,24.9,SH,Trissur Kuttipuram Road (KPWD/MPM/SH/69/4,10.81377,76.01296
G. M. L. P. S. Vadakkummuri,Tirur,Edappal,Perumpadappa,1 - 4,25.2,MDR,Variyarmoola - Chelakkadavu Road (KPWD/MDR/503020101/19,10.737365,76.010027
Padikkal KalyaniAMMA Memorial G L P S Kallurma,Tirur,Edappal,Perumpadappa,1 - 4,28.6,MDR,Changaramkulam Cheruvallur Road (KPWD/MDR/503020101/5,10.71287,76.01779
Uliyathu Aboobacker Memmorial  G. L. P. S. Vadakkummuri,Tirur,Edappal,Perumpadappa,1 - 4,29.2,MDR,Kanhoor Naranipuzha Road (KPWD/MDR/503020101/10,10.72425,75.99978
G. L. P. S. Chiyanur,Tirur,Edappal,Perumpadappa,1 - 4,31.0,MDR,Changaramkulam - Kakkadippuram Road (KPWD/MDR/503020102/2,10.73833,76.0303
G. H. S. S. Kadanchery,Tirur,Edappal,Ponnani,1 - 12,37.0,MDR,Nadakkavu - Nariparamba Road (KPWD/MDR/503020102/8,10.82585,75.98763
G. L. P. S. Mookkuthala,Tirur,Edappal,Perumpadappa,1 - 4,38.5,MDR,Kanhoor Naranipuzha Road (KPWD/MDR/503020101/10,10.73319,76.01244
G. U. P. S. Othalur,Tirur,Edappal,Perumpadappa,1 - 7,40.2,MDR,Othaloor Pavittapuram Road (KPWD/MDR/503020101/14,10.71227,76.0475
G. L. P. S. Thuyyam,Tirur,Edappal,Ponnani,1 - 4,40.8,MDR,Palakkad - Ponnani Road (KPWD/MDR/503020101/15,10.78511,75.98425
G. L. P. S. Edappal,Tirur,Edappal,Ponnani,1 - 4,44.0,MDR,Edappal Tavanoor Road (KPWD/MDR/503020101/8,10.78845,75.99628
G.H. S. S. Kokkur,Tirur,Edappal,Perumpadappa,1 - 12,83.0,MDR,Kolikkara Kokkur Road (KPWD/MDR/503020102/5,10.730907,76.060525
G. L. P. S. Perumparamba Moodal,Tirur,Kuttippuram,Kuttippuram,1 - 4,3.9,MDR,Moodal Kanchippura By Pass Road (KPWD/MDR/503020102/22,10.8702,76.04659
G. L. P. S. Chottur,Tirur,Kuttippuram,Kuttippuram,1 - 4,18.7,MDR,Moodal Kanchippura By Pass Road (KPWD/MDR/503020102/22,10.9161,76.03964
G. L. P. S. Athippetta,Tirur,Kuttippuram,Kuttippuram,1 - 4,22.8,SH,Valancheri â€“ Angadipuram-Wandoor-Vadapuram-Nilamboor Road (KPWD/MPM/SH/73/1,10.90529,76.11195
G. U. P. S. Painkannur,Tirur,Kuttippuram,,1 - 7,26.7,NH,NH 66 - Puthanathani to Kappirikkad (KPWD/NH66/302010501/1,10.87406,76.0641
G. L. P. S. Kuttippuram North,Tirur,Kuttippuram,Kuttippuram,1 - 4,28.8,MDR,PH Centre - Mukkilapeedika Road (KPWD/MDR/503020102/12,10.85369,76.03773
G. L. P. S. Kattilangadi,Tirur,Kuttippuram,Kuttippuram,1 - 4,31.5,MDR,Vettichira- Kattilangadi Road (KPWD/MDR/503020301/47,10.89922,76.01126
G. M. L. P. S. Ayirani,Tirur,Kuttippuram,Kuttippuram,1 - 4,35.0,MDR,Tanalur Puthanathani Road (KPWD/MDR/503020301/52,10.93784,75.98762
