School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
GHSS Peruvallur,Thirurangadi,Vengara,Tirurangadi,1 - 12,37.8,MDR,Thenhipalam - Parambil Peedika Road (MDR,11.10531,75.92466
GUPS Klari,Thirurangadi,Vengara,Vengara,1 - 7,49.7,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.99273,75.97987
GLPS Olakara,Thirurangadi,Vengara,Tirurangadi,1 - 4,52.8,MDR,Kollamchina - Pukayoor Road (MDR,11.083855,75.930001
CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,Thirurangadi,Vengara,Vengara,1 - 7,60.1,MDR,Vengara - Kunnumpuram Road (MDR,11.0683,75.98593
GMUPS Kannamangalam,Thirurangadi,Vengara,Vengara,1 - 7,81.2,MDR,Vengara - Kunnumpuram Road (MDR,11.07803,75.97556
GMLPS Edakkaparamba,Thirurangadi,Vengara,Vengara,1 - 4,96.7,MDR,Vengara - Kunnumpuram Road (MDR,11.0863,75.96675
G. L. P. S. Kaladi,Tirur,Edappal,Ponnani,1 - 4,24.0,State Highway,Thrissur – Kuttippuram Road (SH69,10.81377,76.01296
G. L. P. S. Sukapuram,Tirur,Edappal,Ponnani,1 - 4,24.1,MDR,Naduvattom-Thaneerkodu Road (MDR,10.77321,76.01494
G. L. P. S. Perumparamba,Tirur,Edappal,Ponnani,1 - 4,24.3,MDR,Edappal - Tavanoor Road (MDR,10.8015,75.99547
Padikkal KalyaniAMMA Memorial G L P S Kallurma,Tirur,Edappal,Perumpadappa,1 - 4,28.8,MDR,AE Office Changaramkulam Road (MDR,10.71287,76.01779
Uliyathu Aboobacker Memmorial  G. L. P. S. Vadakkummuri,Tirur,Edappal,Perumpadappa,1 - 4,29.2,MDR,Eramangalam-Changarakulam Road (MDR,10.72425,75.99978
G. L. P. S. Mookkuthala,Tirur,Edappal,Perumpadappa,1 - 4,41.1,MDR,Eramangalam-Changarakulam Road (MDR,10.73319,76.01244
G. L. P. S. Edappal,Tirur,Edappal,Ponnani,1 - 4,42.3,MDR,Edappal - Tavanoor Road (MDR,10.78845,75.99628
G. L. P. S. Athippetta,Tirur,Kuttippuram,Kuttippuram,1 - 4,24.9,State Highway,Valanchery - Perinthalmanna Road (SH73,10.90529,76.11195
G. L. P. S. Kattilangadi,Tirur,Kuttippuram,Kuttippuram,1 - 4,31.9,MDR,Vettichira - Kattilangadi Road (MDR,10.89922,76.01126
G. M. L. P. S. Ponnani Town,Tirur,Ponnani,,1 - 4,1.0,State Highway,Ponnani-Chavakkad Road,10.775853,75.922213
G. H. S. S. Maranchery,Tirur,Ponnani,Perumpadappa,1 - 12,36.0,State Highway,Guruvayoor - Althara - Ponnani Road (SH62,10.74075,75.97083
G. L. P. S. Kanhiramukku,Tirur,Ponnani,Perumpadappa,1 - 5,39.7,State Highway,Guruvayoor - Althara - Ponnani Road (SH62,10.75871,75.96689
G. M. U. P. S. Paravanna,Tirur,Tirur,Tirur,1 - 7,68.5,State Highway,Tippu Sulthan Road (MDR,10.900722,75.89231
G. M. L. P. S. Kuttayi North,Tirur,Tirur,Tirur,1 - 4,72.5,State Highway,Tippu Sulthan Road (MDR,10.849138,75.901949
GLPS Palappatta,Wandoor,Areacode,Areacode,1 - 4,31.5,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.213015,76.120174
GLPS Thachanna,Wandoor,Areacode,Areacode,1 - 4,31.7,MDR,Areacode-othayi-edavanna (MDR,11.2406,76.07077
GLPS Thavarapparamba,Wandoor,Areacode,Areacode,1 - 4,33.4,MDR,Perakamanna - Kuzhiyamparamba Road (MDR,11.189739,76.048509
GUPS Moorkanad,Wandoor,Areacode,Areacode,1 - 7,41.3,MDR,Areacode-othayi-edavanna (MDR,11.24091,76.05748
G.M.U.P.S. Oravambram,Wandoor,Melattur,Perinthalmanna,1 - 7,29.9,State Highway,perinthalmanna - pandikkad Road (SH73,11.08214,76.21665
G.L.P.S. Kara,Wandoor,Melattur,Perinthalmanna,1 - 4,38.2,MDR,Karyavattom - Alanallur Road (MDR,11.00977,76.32209
G.L.P.S. Thelakkad,Wandoor,Melattur,Perinthalmanna,1 - 4,38.3,MDR,Karyavattom - Alanallur Road (MDR,11.02292,76.25808
G.L.P.S. Chemmaniyode,Wandoor,Melattur,Perinthalmanna,1 - 5,46.7,State Highway,Perumbilavu-Nilambur Road (SH39,11.04589,76.2827
G.M.L.P.S. Pallikuth,Wandoor,Melattur,Perinthalmanna,1 - 4,92.5,State Highway,Perumbilavu-Nilambur Road (SH39,11.01528,76.22959
GLPS Meppadam,Wandoor,Nilambur,Wandoor,1 - 4,12.2,MDR,Thiruvali - Mampad Road (MDR,11.22918,76.18182
Konamunda GLPS,Wandoor,Nilambur,Nilambur,1 - 4,33.1,MDR,Akampadom - Pathar Road (MDR,11.32322,76.21861
GLPS Chungathara Panchayath,Wandoor,Nilambur,Nilambur,1 - 4,33.3,MDR,Chungathara - Pookkottumanna Road (MDR,11.352719,76.265172
Mooleppadam GLPS,Wandoor,Nilambur,Nilambur,1 - 4,36.8,State Highway,Nilambur-Adayanpara Road (SH59,11.32223,76.19252
Vadapuram GMLPS,Wandoor,Nilambur,Wandoor,1 - 4,37.2,State Highway,Kozhikode - Nilmbur - Gudallur Road (SH28,11.258116,76.20282
Mampad North GMLPS,Wandoor,Nilambur,Wandoor,1 - 4,40.1,State Highway,Kozhikode - Nilmbur - Gudallur Road (SH28,11.247311,76.180297
Myladi GUPS,Wandoor,Nilambur,Nilambur,1 - 7,43.0,State Highway,Nilambur-Adayanpara Road (SH59,11.30432,76.23129
GMLPS Nilambur,Wandoor,Nilambur,,1 - 4,44.5,State Highway,Kozhikode - Nilambur - Gudallur Road (SH28,11.284931,76.23748
Nilambur GMUPS,Wandoor,Nilambur,,1 - 7,53.2,State Highway,Kozhikode - Nilambur - Gudallur Road (SH28,11.27587,76.22294
Perumbathur GLPS,Wandoor,Nilambur,Nilambur,1 - 4,56.7,MDR,Akampadom - Pathar Road (MDR,11.34724,76.21509
Valanthode GTLPS,Wandoor,Nilambur,Nilambur,1 - 4,89.1,State Highway,Nilambur-Adayanpara Road (SH59,11.3254,76.19236
Pallisseri GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,15.1,MDR,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road (MDR,11.179967,76.303281
Pookkulam GLPS,Wandoor,Wandoor,Wandoor,1 - 4,24.9,State Highway,Valanchery - Nilambur Road (SH73,11.18966,76.234066
Chadangamkulam GLPS,Wandoor,Wandoor,Wandoor,1 - 5,33.6,State Highway,wandoor - Nilambur Road (SH73,11.217016,76.221099
Pazhayakadakkal GUPS,Wandoor,Wandoor,Kalikavu,1 - 7,38.1,State Highway,Perumbilavu-Nilambur Road (SH39,11.142177,76.347892
G G V H S S Wandoor,Wandoor,Wandoor,Wandoor,1 - 12,41.7,MDR,Manjeri Edavanna Thiruvali Road (MDR,11.19562,76.234259
Thuvvur GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,42.5,State Highway,Perumbilavu-Nilambur Road (SH39,11.111585,76.284165
Pullengode GMLPS,Wandoor,Wandoor,Kalikavu,1 - 4,49.8,State Highway,Perumbilavu-Nilambur Road (SH39,11.200585,76.337047
Uthirampoyil GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,72.7,State Highway,Perumbilavu-Nilambur Road (SH39,11.187986,76.326545
Kizhakkethala GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,76.0,State Highway,Perumbilavu-Nilambur Road (SH39,11.124123,76.341958
G.H.S Anchachavadi,Wandoor,Wandoor,Kalikavu,1 -10,77.0,MDR,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road (MDR,11.18653,76.29057
Karuvarakundu GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,83.9,State Highway,Perumbilavu-Nilambur Road (SH39,11.112713,76.327713
