Name,Latitude,Longitude,Educational District,Educational Sub-District,Block Name,Level Name,Phone,School Code
G.L.P.S. Pookkuth,11.099745,76.261683000000005,Malappuram,Manjeri,Wandoor,1 - 5,,18568
G.L.P.S. Pulath,11.168240000000001,76.148619999999994,Malappuram,Manjeri,Wandoor,1 - 4,9746667326,18551
G.L.P.S. Ramankulam,11.124845000000001,76.111281000000005,Malappuram,Manjeri,,1 - 4,04832765350,18553
G.L.P.S. Theyyampadikuth,11.142160000000001,76.253545000000003,Malappuram,Manjeri,Wandoor,1 - 4,9497661688,18554
G.L.P.S. Thottupoyil,11.123352000000001,76.125459000000006,Malappuram,Manjeri,,1 - 4,8848831610,18555
G.L.P.S. Valarad,11.083769999999999,76.230474000000001,Malappuram,Manjeri,Wandoor,1 - 4,9946109130,18557
G.L.P.S. Vettikkattiri,11.095160999999999,76.213942000000003,Malappuram,Manjeri,Wandoor,1 - 4,9746545469,18563
G.M.L.P.S. Edavanna,11.216576,76.142188000000004,Malappuram,Manjeri,Areacode,1 - 4,04832702050,18514
G.M.L.P.S. Eranhikode,11.226293,76.157293999999993,Malappuram,Manjeri,Areacode,1 - 4,9946964676,18515
G.M.L.P.S. Karakunnu,11.169843999999999,76.131066000000004,Malappuram,Manjeri,Wandoor,1 - 4,9447275070,18517
G.M.L.P.S. Kidangazhi,11.122817,76.115369999999999,Malappuram,Manjeri,,1 - 4,9446338648,18523
G.M.L.P.S. Kodasseri,11.123438,76.233538999999993,Malappuram,Manjeri,Wandoor,1 - 4,04832785510,18525
G.M.L.P.S. Manhapatta,11.153943,76.151527999999999,Malappuram,Manjeri,Wandoor,1 - 4,04832709250,18529
G.M.L.P.S. Manjeri,11.119505999999999,76.121790000000004,Malappuram,Manjeri,,1 - 4,9746793800,18533
G.M.L.P.S. Manjeri East,11.121499,76.125117000000003,Malappuram,Manjeri,,1 - 4,,18531
G.M.L.P.S. Manjeri South,11.120905,76.126580000000004,Malappuram,Manjeri,,1 - 4,9447353792,18534
G.M.L.P.S. Nellikuth North,11.10863,76.182198,Malappuram,Manjeri,,1 - 4,9496844665,18539
G.M.L.P.S. Odompatta,11.122876,76.267975000000007,Malappuram,Manjeri,Wandoor,1 - 4,04931284090,18540
G.M.L.P.S. Pandikkad,11.097809,76.224314000000007,Malappuram,Manjeri,Wandoor,1 - 5,04832780150,18567
G.M.L.P.S. Pathappiriyam,11.199875,76.135464999999996,Malappuram,Manjeri,Areacode,1 - 4,00000000000,18548
G.M.U.P.S. Melakkam,11.122684,76.119386000000006,Malappuram,Manjeri,,1 - 7,04832765613,18576
G.U.P.S. Anakkayam,11.087859999999999,76.123410000000007,Malappuram,Manjeri,Malappuram,1 - 7,9846224586,18569
G.U.P.S. Elankur,11.161189,76.182627999999994,Malappuram,Manjeri,Wandoor,1 - 7,04832707864,18572
G.U.P.S. Manjeri,11.120277,76.115769,Malappuram,Manjeri,,1 - 7,08606033189,18575
G.U.P.S. Pathappiriyam,11.192845999999999,76.135081,Malappuram,Manjeri,Areacode,1 - 7,04832704604,18578
G.U.P.S. Veembur,11.119429,76.089153999999994,Malappuram,Manjeri,,1 - 7,9946770793,18583
G.U.P.S. Vettekkode,11.114443,76.123284999999996,Malappuram,Manjeri,,1 - 7,9048804260,18562
K.M Musthafa Memorial G.L.P.S. Mundengara,11.223765999999999,76.140821000000003,Malappuram,Manjeri,Areacode,1 - 5,04832700250,18566
G H S S Kadungapuram,10.98095,76.138319999999993,Malappuram,Mankada,Mankada,1 - 12,04933254270,18078
G L P S Chovana,10.989385,76.136606,Malappuram,Mankada,Mankada,1 - 4,9495123933,18607
G L P S Karkidakam,11.02328,76.168350000000004,Malappuram,Mankada,Mankada,1 - 4,8592893807,18612
G L P S Kuruva,11.007168999999999,76.113226999999995,Malappuram,Mankada,Mankada,1 - 4,04933281129,18616
G L P S Mankada,11.015470000000001,76.177199999999999,Malappuram,Mankada,Mankada,1 - 4,9946138919,18618
G L P S Meenarkuzhi,11.00891,76.105323999999996,Malappuram,Mankada,Mankada,1 - 4,9745201298,18634
G L P S Padinhattummuri,11.058809999999999,76.110720000000001,Malappuram,Mankada,Mankada,1 - 5,04933241425,18657
G L P S Palakaparambil,10.971170000000001,76.115290000000002,Malappuram,Mankada,Mankada,1 - 4,9747201826,18626
G L P S Pang,10.97204,76.102260000000001,Malappuram,Mankada,Mankada,1 - 4,04933242111,18628
G L P S Pooppalam Valambur,10.999484000000001,76.223164999999995,Malappuram,Mankada,Perinthalmanna,1 - 4,9249221302,18636
G L P S Pothukundu,11.01726,76.123609999999999,Malappuram,Mankada,Mankada,1 - 4,04933281620,18637
G L P S Puthanangadi,10.96752,76.188930999999997,Malappuram,Mankada,Perinthalmanna,1 - 4,04933253612,18640
G L P S Vallikkapatta,11.062340000000001,76.140559999999994,Malappuram,Mankada,Mankada,1 - 4,9400402188,18651
G L P S Vellila,11.04219,76.156059999999997,Malappuram,Mankada,Mankada,1 - 4,04933236120,18653
G M L P S Vadakkangara,11.017849999999999,76.150890000000004,Malappuram,Mankada,Mankada,1 - 4,04933284088,18645
G U P S Koottilangadi,11.034280000000001,76.104500000000002,Malappuram,Mankada,Mankada,1 - 7,6238971416,18660
G U P S Mankada Pallippuram,11.06096,76.127269999999996,Malappuram,Mankada,Mankada,1 - 7,04933241092,18664
Govt. U P School Pang,10.971880000000001,76.099789999999999,Malappuram,Mankada,Mankada,1 - 7,04933243765,18666
G H S Aliparamba,10.918934,76.312984,Malappuram,Perinthalmanna,Perinthalmanna,1 - 12,04933234214,18097
GLPS Arakkuparamba,10.99145,76.32638,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933233800,18705
GLPS Kappumugham,10.96044,76.286339999999996,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933250025,18717
GLPS Kunnakkavu,10.904719999999999,76.247429999999994,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933230140,18716
GLPS Pallikunnu,10.998710000000001,76.320369999999997,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933233700,18725
GLPS Parakkalmukku,10.915345,76.235166000000007,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,9605318771,18728
GLPS Perinthalmanna East,10.971887000000001,76.232647,Malappuram,Perinthalmanna,,1 - 4,7025297710,18731
GMLPS Kakkooth,10.983306000000001,76.224637999999999,Malappuram,Perinthalmanna,,1 - 4,04933220310,18715
GMLPS Muthiramanna,10.95579,76.296890000000005,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,9605727576,18723
GMLPS Perinthalmanna Central,10.978076,76.226290000000006,Malappuram,Perinthalmanna,,1 - 4,9400730787,18730
GMLPS Puthur,10.987310000000001,76.349230000000006,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933216411,18736
GMLPS Thazhekode,10.956950000000001,76.304810000000003,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,04933250459,18737
GMLPS Thootha,10.918799999999999,76.286789999999996,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,,18739
GMUPS Valapuram,10.921364000000001,76.165784000000002,Malappuram,Perinthalmanna,Perinthalmanna,1 - 7,9495454253,18758
G. F. L. P. S. Parappanangadi,11.070636,75.847279,Thirurangadi,Parappanangadi,,1 - 4,04942940357,19408
G. H. S. Trikkulam,11.04218,75.909440000000004,Thirurangadi,Parappanangadi,,1 -10,04942460655,19451
G. L .P. S. Melodiparamba,11.106254,75.904889999999995,Thirurangadi,Parappanangadi,Tirurangadi,1 - 4,9526903832,19430
G. L. P. S. Anappadi,11.075530000000001,75.856470000000002,Thirurangadi,Parappanangadi,Tirurangadi,1 - 4,9744259107,19401
G. L. P. S. Parappanangadi,11.069179999999999,75.853639999999999,Thirurangadi,Parappanangadi,,1 - 5,04942411144,19433
G. L. P. S. Thirurangadi,11.044321,75.923696000000007,Thirurangadi,Parappanangadi,,1 - 4,04942460922,19414
G. L. P. S. Venniyur,11.014938000000001,75.938958999999997,Thirurangadi,Parappanangadi,,1 - 4,04942480096,19417
G. M. L. P. S. Parappanangadi,11.060829,75.849040000000002,Thirurangadi,Parappanangadi,,1 - 4,04942940328,19432
G. M. L. P. S. Parappanangadi Town,11.04823,75.85857,Thirurangadi,Parappanangadi,Tirurangadi,1 - 5,04942410265,19434
G. M. L. P. S. Thirurangadi,11.035572,75.926975999999996,Thirurangadi,Parappanangadi,,1 - 4,,19412
G. M. L. P. S. Velimukku,11.099083,75.894570000000002,Thirurangadi,Parappanangadi,Tirurangadi,1 - 5,9048329674,19436
G. M. U. P. S. Kakkad,11.035220000000001,75.938239999999993,Thirurangadi,Parappanangadi,,1 - 7,,19441
G. M. U. P. S. Puthan Kadappuram,11.049709999999999,75.851470000000006,Thirurangadi,Parappanangadi,,1 - 7,9747012322,19410
G. M. U. P. S. Venniyur,11.015067,75.953727000000001,Thirurangadi,Parappanangadi,,1 - 7,9947050306,19453
G. W. U. P. S. Trikkulam,11.04346,75.901430000000005,Thirurangadi,Parappanangadi,,1 - 7,04942465200,19449
A. M. L. P. S. Kormanthala,10.987159999999999,75.867883000000006,Thirurangadi,Tanur,,1 - 4,9495070849,19636
G H S Meenadathur,10.942207,75.910048000000003,Thirurangadi,Tanur,Tanur,1 -10,04942584020,19671
G. H. S. S. Kattilangadi,10.97254,75.891819999999996,Thirurangadi,Tanur,,1 - 12,04942441085,19024
G. H. S. S. Ponmundam,10.957122999999999,75.956855000000004,Thirurangadi,Tanur,Tanur,1 - 12,04942588686,19119
G. L. P. S. K.Puram,10.95149,75.897909999999996,Thirurangadi,Tanur,Tanur,1 - 5,04942445040,19660
G. L. P. S. Kanmanam,10.906295999999999,75.982984999999999,Thirurangadi,Tanur,Tanur,1 - 4,04942548698,19613
G. L. P. S. Klari West,10.98592,75.967969999999994,Thirurangadi,Tanur,Tanur,1 - 4,9400172760,19611
G. L. P. S. Nannambra,10.995660000000001,75.909589999999994,Thirurangadi,Tanur,Tirurangadi,1 - 4,04942480710,19622
G. L. P. S. Ozhur,10.965999999999999,75.906109999999998,Thirurangadi,Tanur,Tanur,1 - 5,9562313328,19662
G. L. P. S. Pariyapuram,11.002219999999999,75.873840000000001,Thirurangadi,Tanur,,1 - 5,04942441133,19663
G. L. P. S. Rayirimangalam,10.99357,75.873099999999994,Thirurangadi,Tanur,,1 - 4,04942441940,19629
G. L. P. S. Rayirimangalam East,10.990608999999999,75.877506999999994,Thirurangadi,Tanur,,1 - 4,9446388965,19635
G. L. P. S. Tanur,10.974337,75.879199999999997,Thirurangadi,Tanur,,1 - 5,2440320,19664
G. M. L. P. S. Cherumukku,11.02253,75.924350000000004,Thirurangadi,Tanur,Tirurangadi,1 - 4,04942483599,19602
G. M. L. P. S. Cheruvannur,10.928094,75.973060000000004,Thirurangadi,Tanur,Tanur,1 - 4,04942546096,19605
G. M. L. P. S. Edakadappuram,10.96927,75.872743,Thirurangadi,Tanur,Tanur,1 - 4,04942444068,19607
G. M. L. P. S. Iringavoor,10.93993,75.939520000000002,Thirurangadi,Tanur,Tanur,1 - 4,04942585000,19609
G. M. L. P. S. Korad,10.98109,75.914010000000005,Thirurangadi,Tanur,Tanur,1 - 4,04942583350,19616
G. M. L. P. S. Kuttippala,10.966749999999999,75.961110000000005,Thirurangadi,Tanur,Tanur,1 - 5,,19661
G. M. L. P. S. Manalipuzha,10.990460000000001,75.925619999999995,Thirurangadi,Tanur,Tanur,1 - 4,9946368230,19619
G. M. L. P. S. Panangattur,10.990209999999999,75.897379999999998,Thirurangadi,Tanur,,1 - 4,9605115089,19624
G. M. L. P. S. Parapputhadam,10.934659999999999,75.947249999999997,Thirurangadi,Tanur,Tanur,1 - 4,04942588284,19626
G. M. L. P. S. Ponmundam South,10.948919999999999,75.950950000000006,Thirurangadi,Tanur,Tanur,1 - 4,04942585058,19631
G. M. L. P. S. Puthiyakadppuram North,10.950653000000001,75.877138000000002,Thirurangadi,Tanur,,1 - 4,04942444241,19633
G. M. L. P. S. Rayirimangalam,10.980980000000001,75.876930000000002,Thirurangadi,Tanur,,1 - 4,04942440899,19637
G. M. L. P. S. Tanur North,10.98312,75.869812999999994,Thirurangadi,Tanur,,1 - 4,04942443361,19640
G. M. L. P. S. Thalakadathur,10.939,75.937460000000002,Thirurangadi,Tanur,Tanur,1 - 4,04942587160,19642
G. M. L. P. S. Thiruthy,11.016109999999999,75.900440000000003,Thirurangadi,Tanur,Tirurangadi,1 - 4,04942480014,19644
G. M. L. P. S. Valavannur,10.958043,75.976714000000001,Thirurangadi,Tanur,Tanur,1 - 4,04942549080,19646
G. M. U. P. S. Kodinhi,11.01703,75.910719999999998,Thirurangadi,Tanur,Tirurangadi,1 - 7,04942482735,19669
G. M. U. P. S. Tanur Town,10.97752,75.871183000000002,Thirurangadi,Tanur,,1 - 7,04942445170,19673
G. U. P. S. Karingappara,10.9862,75.942490000000006,Thirurangadi,Tanur,Tanur,1 - 7,04942489151,19667
CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,11.068300000000001,75.985929999999996,Thirurangadi,Vengara,Vengara,1 - 7,04942454056,19862
G H S Kuruka,11.03964,75.968620000000001,Thirurangadi,Vengara,Vengara,1 -10,04942454244,19868
G L P S Othukkungal,11.02562,76.026409999999998,Thirurangadi,Vengara,Malappuram,1 - 4,9645212970,19820
G M L P S Karathode,11.063008999999999,76.013634999999994,Thirurangadi,Vengara,Vengara,1 - 4,04832836171,19828
G U P S Cholakundu,11.01839,75.985020000000006,Thirurangadi,Vengara,Vengara,1 - 7,04832750123,19863
GHS Kolappuram,11.05608,75.935000000000002,Thirurangadi,Vengara,Vengara,1 -10,9744249304,19867
GHSS Peruvallur,11.105309999999999,75.924660000000003,Thirurangadi,Vengara,Tirurangadi,1 - 12,04942434701,19073
GHSS Puthuparamba,11.02323,75.970619999999997,Thirurangadi,Vengara,Vengara,1 - 12,04832750430,19077
GLPS Kannamangalam,11.076840000000001,75.969650000000001,Thirurangadi,Vengara,Vengara,1 - 4,04942493810,19810
GLPS Klari,10.987310000000001,75.984579999999994,Thirurangadi,Vengara,Vengara,1 - 4,04832750460,19812
GLPS Kodalikundu,11.060510000000001,76.002499999999998,Thirurangadi,Vengara,Vengara,1 - 4,04942450044,19818
GLPS Nottappuram,11.063656999999999,75.974143999999995,Thirurangadi,Vengara,Vengara,1 - 4,04942490204,19826
GLPS Olakara,11.083855,75.930001000000004,Thirurangadi,Vengara,Tirurangadi,1 - 4,9497843083,19833
GLPS Orakam Kizhumuri,11.052021,75.993125000000006,Thirurangadi,Vengara,Vengara,1 - 5,9847510030,19855
GLPS Orakam Melmuri,11.063756,76.031395000000003,Thirurangadi,Vengara,Vengara,1 - 4,04942455815,19830
GLPS Peruvallur,11.11383,75.925210000000007,Thirurangadi,Vengara,Tirurangadi,1 - 4,9446882907,19836
GLPS Pukayur,11.073853,75.914429999999996,Thirurangadi,Vengara,Vengara,1 - 4,04942460464,19840
GLPS Thattancherimala,11.045565,75.945858000000001,Thirurangadi,Vengara,Vengara,1 - 4,9747396232,19841
GMLPS C.U. Campus,11.130990000000001,75.891859999999994,Thirurangadi,Vengara,Tirurangadi,1 - 4,04942401211,19805
GMLPS Cherukunnu,11.012736,76.011487000000002,Thirurangadi,Vengara,Malappuram,1 - 4,9947098491,19804
GMLPS Cherur,11.073861000000001,75.985242,Thirurangadi,Vengara,Vengara,1 - 4,04832450556,19802
GMLPS Edakkaparamba,11.0863,75.966750000000005,Thirurangadi,Vengara,Vengara,1 - 4,04942491114,19808
GMLPS Iringallur,11.02338,76.007080000000002,Thirurangadi,Vengara,Vengara,1 - 4,04832838583,19809
GMLPS Kilinakode,11.07687,76.000529999999998,Thirurangadi,Vengara,Vengara,1 - 4,04942450042,19814
GMLPS Koomanna,11.087400000000001,75.913550000000001,Thirurangadi,Vengara,Tirurangadi,1 - 4,04942434006,19816
GMLPS Koyappa,11.121880000000001,75.89622,Thirurangadi,Vengara,Tirurangadi,1 - 5,04942400060,19853
GMLPS Mampuram,11.056100000000001,75.920419999999993,Thirurangadi,Vengara,Vengara,1 - 4,9847635365,19822
GMLPS Orakam Kizhmuri,11.050383,76.011311000000006,Thirurangadi,Vengara,Vengara,1 - 4,9495531052,19824
GMLPS Puthur,11.0036,76.015240000000006,Thirurangadi,Vengara,Malappuram,1 - 4,9446352439,19838
GMUPS Kannamangalam,11.07803,75.975560000000002,Thirurangadi,Vengara,Vengara,1 - 7,04942490330,19864
GMVHSS Vengara Town,11.049436,75.977941000000001,Thirurangadi,Vengara,Vengara,1 - 12,04942451677,19014
GUPS AR Nagar,11.071719999999999,75.947029999999998,Thirurangadi,Vengara,Vengara,1 - 7,04942493261,19859
GUPS Klari,10.99273,75.979870000000005,Thirurangadi,Vengara,Vengara,1 - 7,04832751431,19866
GUPS Thenhippalam,11.12959,75.871619999999993,Thirurangadi,Vengara,Tirurangadi,1 - 7,04942400188,19871
GUPS Valiyora,11.048730000000001,75.949709999999996,Thirurangadi,Vengara,Vengara,1 - 7,04942459817,19872
G. B. L. P. S. Mudur,10.804169999999999,76.026449999999997,Tirur,Edappal,Ponnani,1 - 4,04942698650,19216
G. H. S. S. Kadanchery,10.825850000000001,75.987629999999996,Tirur,Edappal,Ponnani,1 - 12,04942687606,19034
G. H. W. L. P. S. Maravancheri,10.831856,75.997435999999993,Tirur,Edappal,Ponnani,1 - 5,8129397857,19244
G. J. B. S. Vattamkulam,10.785135,76.015860000000004,Tirur,Edappal,Ponnani,1 - 4,04942680633,19235
G. L. P. S. Chiyanur,10.738329999999999,76.030299999999997,Tirur,Edappal,Perumpadappa,1 - 4,9946681732,19205
G. L. P. S. Edappal,10.788449999999999,75.996279999999999,Tirur,Edappal,Ponnani,1 - 4,,19206
G. L. P. S. Kaladi,10.81377,76.012960000000007,Tirur,Edappal,Ponnani,1 - 4,,19208
G. L. P. S. Mookkuthala,10.73319,76.012439999999998,Tirur,Edappal,Perumpadappa,1 - 4,,19214
G. L. P. S. Nariparamba,10.815314000000001,75.964247,Tirur,Edappal,Ponnani,1 - 4,00000000000,19218
G. L. P. S. Perumparamba,10.801500000000001,75.995469999999997,Tirur,Edappal,Ponnani,1 - 4,04942681247,19222
G. L. P. S. Polpakkara,10.792126,75.985551999999998,Tirur,Edappal,Ponnani,1 - 4,9048611913,19223
G. L. P. S. Sukapuram,10.773210000000001,76.014939999999996,Tirur,Edappal,Ponnani,1 - 4,04942684750,19225
G. L. P. S. Thrikkanapuram,10.839665999999999,75.988632999999993,Tirur,Edappal,Ponnani,1 - 4,9447923828,19229
G. L. P. S. Thuyyam,10.78511,75.984250000000003,Tirur,Edappal,Ponnani,1 - 4,9539765670,19227
G. M. L. P. S. Pallikara,10.727149000000001,76.029347999999999,Tirur,Edappal,Perumpadappa,1 - 4,04942650235,19220
G. M. L. P. S. Vadakkummuri,10.737365,76.010026999999994,Tirur,Edappal,Perumpadappa,1 - 4,04942653730,19233
G. M. U. P. S. Edappal,10.78435,76.001549999999995,Tirur,Edappal,Ponnani,1 - 7,04942685703,19246
G. U. P. S. Kololamba,10.782252,75.947046,Tirur,Edappal,Ponnani,1 - 7,04942689160,19249
G. U. P. S. Othalur,10.71227,76.047499999999999,Tirur,Edappal,Perumpadappa,1 - 7,914942083166,19251
G. U. P. S. Pothanur,10.821579,75.984728000000004,Tirur,Edappal,Ponnani,1 - 7,7592930816,19253
G.H. S. S. Kokkur,10.730907,76.060524999999998,Tirur,Edappal,Perumpadappa,1 - 12,04942945148,19063
Govt L.P.School Kololomba,10.759359999999999,75.995090000000005,Tirur,Edappal,Ponnani,1 - 5,9747749954,19243
K. M. G. U. P. S. Thavanur,10.85258,75.983819999999994,Tirur,Edappal,Ponnani,1 - 7,04942686099,19254
